image_id,filename,true_class,model,predicted_class,confidence,threshold
359,glioma/Te-gl_62.jpg,glioma,VGG16,notumor,0.98828125,0.8
363,glioma/Te-gl_66.jpg,glioma,VGG16,meningioma,0.984375,0.8
365,glioma/Te-gl_68.jpg,glioma,VGG16,meningioma,1.0,0.8
374,glioma/Te-gl_76.jpg,glioma,VGG16,meningioma,1.0,0.8
376,glioma/Te-gl_78.jpg,glioma,VGG16,notumor,1.0,0.8
385,glioma/Te-gl_86.jpg,glioma,VGG16,meningioma,0.88720703125,0.8
386,glioma/Te-gl_87.jpg,glioma,VGG16,meningioma,0.9892578125,0.8
394,glioma/Te-gl_94.jpg,glioma,VGG16,pituitary,0.95947265625,0.8
397,glioma/Te-gl_97.jpg,glioma,VGG16,notumor,1.0,0.8
401,meningioma/Te-aug-me_10.jpg,meningioma,VGG16,pituitary,1.0,0.8
404,meningioma/Te-aug-me_102.jpg,meningioma,VGG16,pituitary,0.94287109375,0.8
409,meningioma/Te-aug-me_14.jpg,meningioma,VGG16,pituitary,0.9990234375,0.8
411,meningioma/Te-aug-me_16.jpg,meningioma,VGG16,glioma,0.93603515625,0.8
432,meningioma/Te-aug-me_35.jpg,meningioma,VGG16,pituitary,0.88671875,0.8
496,meningioma/Te-aug-me_93.jpg,meningioma,VGG16,pituitary,0.8896484375,0.8
561,meningioma/Te-me_151.jpg,meningioma,VGG16,glioma,0.9951171875,0.8
580,meningioma/Te-me_169.jpg,meningioma,VGG16,pituitary,1.0,0.8
599,meningioma/Te-me_186.jpg,meningioma,VGG16,notumor,0.994140625,0.8
792,meningioma/Te-me_92.jpg,meningioma,VGG16,pituitary,0.8056640625,0.8
1578,pituitary/Te-pi_8.jpg,pituitary,VGG16,meningioma,0.83544921875,0.8
8,glioma/Te-gl_106.jpg,glioma,VGG16,meningioma,0.9951171875,0.9
11,glioma/Te-gl_109.jpg,glioma,VGG16,meningioma,0.97705078125,0.9
33,glioma/Te-gl_129.jpg,glioma,VGG16,notumor,0.970703125,0.9
46,glioma/Te-gl_140.jpg,glioma,VGG16,meningioma,1.0,0.9
56,glioma/Te-gl_15.jpg,glioma,VGG16,meningioma,0.9677734375,0.9
58,glioma/Te-gl_151.jpg,glioma,VGG16,meningioma,0.9990234375,0.9
80,glioma/Te-gl_171.jpg,glioma,VGG16,meningioma,0.9970703125,0.9
99,glioma/Te-gl_189.jpg,glioma,VGG16,notumor,0.927734375,0.9
125,glioma/Te-gl_211.jpg,glioma,VGG16,meningioma,0.9716796875,0.9
126,glioma/Te-gl_212.jpg,glioma,VGG16,meningioma,0.931640625,0.9
132,glioma/Te-gl_218.jpg,glioma,VGG16,notumor,0.9990234375,0.9
143,glioma/Te-gl_228.jpg,glioma,VGG16,meningioma,0.9970703125,0.9
144,glioma/Te-gl_229.jpg,glioma,VGG16,meningioma,0.97802734375,0.9
145,glioma/Te-gl_23.jpg,glioma,VGG16,meningioma,0.990234375,0.9
154,glioma/Te-gl_238.jpg,glioma,VGG16,meningioma,1.0,0.9
183,glioma/Te-gl_264.jpg,glioma,VGG16,meningioma,1.0,0.9
189,glioma/Te-gl_27.jpg,glioma,VGG16,meningioma,0.9921875,0.9
192,glioma/Te-gl_272.jpg,glioma,VGG16,meningioma,0.931640625,0.9
195,glioma/Te-gl_275.jpg,glioma,VGG16,pituitary,0.97998046875,0.9
227,glioma/Te-gl_303.jpg,glioma,VGG16,notumor,0.970703125,0.9
230,glioma/Te-gl_306.jpg,glioma,VGG16,meningioma,0.95263671875,0.9
239,glioma/Te-gl_314.jpg,glioma,VGG16,meningioma,0.9990234375,0.9
243,glioma/Te-gl_318.jpg,glioma,VGG16,notumor,1.0,0.9
245,glioma/Te-gl_32.jpg,glioma,VGG16,meningioma,0.95166015625,0.9
262,glioma/Te-gl_335.jpg,glioma,VGG16,meningioma,1.0,0.9
265,glioma/Te-gl_338.jpg,glioma,VGG16,meningioma,0.931640625,0.9
269,glioma/Te-gl_341.jpg,glioma,VGG16,notumor,1.0,0.9
279,glioma/Te-gl_350.jpg,glioma,VGG16,notumor,0.97509765625,0.9
287,glioma/Te-gl_358.jpg,glioma,VGG16,notumor,0.9931640625,0.9
321,glioma/Te-gl_389.jpg,glioma,VGG16,meningioma,0.95166015625,0.9
322,glioma/Te-gl_39.jpg,glioma,VGG16,meningioma,0.9921875,0.9
324,glioma/Te-gl_391.jpg,glioma,VGG16,pituitary,0.92919921875,0.9
342,glioma/Te-gl_47.jpg,glioma,VGG16,meningioma,0.9990234375,0.9
354,glioma/Te-gl_58.jpg,glioma,VGG16,meningioma,0.9892578125,0.9
359,glioma/Te-gl_62.jpg,glioma,VGG16,notumor,0.98828125,0.9
363,glioma/Te-gl_66.jpg,glioma,VGG16,meningioma,0.984375,0.9
365,glioma/Te-gl_68.jpg,glioma,VGG16,meningioma,1.0,0.9
374,glioma/Te-gl_76.jpg,glioma,VGG16,meningioma,1.0,0.9
376,glioma/Te-gl_78.jpg,glioma,VGG16,notumor,1.0,0.9
386,glioma/Te-gl_87.jpg,glioma,VGG16,meningioma,0.9892578125,0.9
394,glioma/Te-gl_94.jpg,glioma,VGG16,pituitary,0.95947265625,0.9
397,glioma/Te-gl_97.jpg,glioma,VGG16,notumor,1.0,0.9
401,meningioma/Te-aug-me_10.jpg,meningioma,VGG16,pituitary,1.0,0.9
404,meningioma/Te-aug-me_102.jpg,meningioma,VGG16,pituitary,0.94287109375,0.9
409,meningioma/Te-aug-me_14.jpg,meningioma,VGG16,pituitary,0.9990234375,0.9
411,meningioma/Te-aug-me_16.jpg,meningioma,VGG16,glioma,0.93603515625,0.9
561,meningioma/Te-me_151.jpg,meningioma,VGG16,glioma,0.9951171875,0.9
580,meningioma/Te-me_169.jpg,meningioma,VGG16,pituitary,1.0,0.9
599,meningioma/Te-me_186.jpg,meningioma,VGG16,notumor,0.994140625,0.9
8,glioma/Te-gl_106.jpg,glioma,VGG16,meningioma,0.9951171875,0.95
11,glioma/Te-gl_109.jpg,glioma,VGG16,meningioma,0.97705078125,0.95
33,glioma/Te-gl_129.jpg,glioma,VGG16,notumor,0.970703125,0.95
46,glioma/Te-gl_140.jpg,glioma,VGG16,meningioma,1.0,0.95
56,glioma/Te-gl_15.jpg,glioma,VGG16,meningioma,0.9677734375,0.95
58,glioma/Te-gl_151.jpg,glioma,VGG16,meningioma,0.9990234375,0.95
80,glioma/Te-gl_171.jpg,glioma,VGG16,meningioma,0.9970703125,0.95
125,glioma/Te-gl_211.jpg,glioma,VGG16,meningioma,0.9716796875,0.95
132,glioma/Te-gl_218.jpg,glioma,VGG16,notumor,0.9990234375,0.95
143,glioma/Te-gl_228.jpg,glioma,VGG16,meningioma,0.9970703125,0.95
144,glioma/Te-gl_229.jpg,glioma,VGG16,meningioma,0.97802734375,0.95
145,glioma/Te-gl_23.jpg,glioma,VGG16,meningioma,0.990234375,0.95
154,glioma/Te-gl_238.jpg,glioma,VGG16,meningioma,1.0,0.95
183,glioma/Te-gl_264.jpg,glioma,VGG16,meningioma,1.0,0.95
189,glioma/Te-gl_27.jpg,glioma,VGG16,meningioma,0.9921875,0.95
195,glioma/Te-gl_275.jpg,glioma,VGG16,pituitary,0.97998046875,0.95
227,glioma/Te-gl_303.jpg,glioma,VGG16,notumor,0.970703125,0.95
230,glioma/Te-gl_306.jpg,glioma,VGG16,meningioma,0.95263671875,0.95
239,glioma/Te-gl_314.jpg,glioma,VGG16,meningioma,0.9990234375,0.95
243,glioma/Te-gl_318.jpg,glioma,VGG16,notumor,1.0,0.95
245,glioma/Te-gl_32.jpg,glioma,VGG16,meningioma,0.95166015625,0.95
262,glioma/Te-gl_335.jpg,glioma,VGG16,meningioma,1.0,0.95
269,glioma/Te-gl_341.jpg,glioma,VGG16,notumor,1.0,0.95
279,glioma/Te-gl_350.jpg,glioma,VGG16,notumor,0.97509765625,0.95
287,glioma/Te-gl_358.jpg,glioma,VGG16,notumor,0.9931640625,0.95
321,glioma/Te-gl_389.jpg,glioma,VGG16,meningioma,0.95166015625,0.95
322,glioma/Te-gl_39.jpg,glioma,VGG16,meningioma,0.9921875,0.95
342,glioma/Te-gl_47.jpg,glioma,VGG16,meningioma,0.9990234375,0.95
354,glioma/Te-gl_58.jpg,glioma,VGG16,meningioma,0.9892578125,0.95
359,glioma/Te-gl_62.jpg,glioma,VGG16,notumor,0.98828125,0.95
363,glioma/Te-gl_66.jpg,glioma,VGG16,meningioma,0.984375,0.95
365,glioma/Te-gl_68.jpg,glioma,VGG16,meningioma,1.0,0.95
374,glioma/Te-gl_76.jpg,glioma,VGG16,meningioma,1.0,0.95
376,glioma/Te-gl_78.jpg,glioma,VGG16,notumor,1.0,0.95
386,glioma/Te-gl_87.jpg,glioma,VGG16,meningioma,0.9892578125,0.95
394,glioma/Te-gl_94.jpg,glioma,VGG16,pituitary,0.95947265625,0.95
397,glioma/Te-gl_97.jpg,glioma,VGG16,notumor,1.0,0.95
401,meningioma/Te-aug-me_10.jpg,meningioma,VGG16,pituitary,1.0,0.95
409,meningioma/Te-aug-me_14.jpg,meningioma,VGG16,pituitary,0.9990234375,0.95
561,meningioma/Te-me_151.jpg,meningioma,VGG16,glioma,0.9951171875,0.95
580,meningioma/Te-me_169.jpg,meningioma,VGG16,pituitary,1.0,0.95
599,meningioma/Te-me_186.jpg,meningioma,VGG16,notumor,0.994140625,0.95
5,glioma/Te-gl_103.jpg,glioma,ResNet50,notumor,0.9853515625,0.8
8,glioma/Te-gl_106.jpg,glioma,ResNet50,meningioma,0.97998046875,0.8
11,glioma/Te-gl_109.jpg,glioma,ResNet50,meningioma,0.9990234375,0.8
30,glioma/Te-gl_126.jpg,glioma,ResNet50,meningioma,0.96044921875,0.8
33,glioma/Te-gl_129.jpg,glioma,ResNet50,meningioma,0.9892578125,0.8
38,glioma/Te-gl_133.jpg,glioma,ResNet50,notumor,0.99609375,0.8
46,glioma/Te-gl_140.jpg,glioma,ResNet50,meningioma,0.8359375,0.8
56,glioma/Te-gl_15.jpg,glioma,ResNet50,meningioma,0.97900390625,0.8
58,glioma/Te-gl_151.jpg,glioma,ResNet50,meningioma,0.994140625,0.8
66,glioma/Te-gl_159.jpg,glioma,ResNet50,notumor,0.97802734375,0.8
68,glioma/Te-gl_160.jpg,glioma,ResNet50,pituitary,0.9453125,0.8
80,glioma/Te-gl_171.jpg,glioma,ResNet50,meningioma,1.0,0.8
97,glioma/Te-gl_187.jpg,glioma,ResNet50,meningioma,0.8828125,0.8
117,glioma/Te-gl_204.jpg,glioma,ResNet50,notumor,0.87158203125,0.8
125,glioma/Te-gl_211.jpg,glioma,ResNet50,meningioma,0.9853515625,0.8
126,glioma/Te-gl_212.jpg,glioma,ResNet50,meningioma,0.9951171875,0.8
132,glioma/Te-gl_218.jpg,glioma,ResNet50,notumor,0.80322265625,0.8
143,glioma/Te-gl_228.jpg,glioma,ResNet50,meningioma,1.0,0.8
154,glioma/Te-gl_238.jpg,glioma,ResNet50,meningioma,0.8359375,0.8
177,glioma/Te-gl_259.jpg,glioma,ResNet50,notumor,0.87158203125,0.8
183,glioma/Te-gl_264.jpg,glioma,ResNet50,meningioma,1.0,0.8
189,glioma/Te-gl_27.jpg,glioma,ResNet50,meningioma,0.9541015625,0.8
192,glioma/Te-gl_272.jpg,glioma,ResNet50,meningioma,0.9951171875,0.8
195,glioma/Te-gl_275.jpg,glioma,ResNet50,meningioma,0.9453125,0.8
197,glioma/Te-gl_277.jpg,glioma,ResNet50,notumor,0.8447265625,0.8
227,glioma/Te-gl_303.jpg,glioma,ResNet50,meningioma,0.9892578125,0.8
235,glioma/Te-gl_310.jpg,glioma,ResNet50,notumor,0.9951171875,0.8
238,glioma/Te-gl_313.jpg,glioma,ResNet50,meningioma,0.8115234375,0.8
239,glioma/Te-gl_314.jpg,glioma,ResNet50,meningioma,0.8505859375,0.8
243,glioma/Te-gl_318.jpg,glioma,ResNet50,notumor,0.9990234375,0.8
262,glioma/Te-gl_335.jpg,glioma,ResNet50,meningioma,0.9990234375,0.8
265,glioma/Te-gl_338.jpg,glioma,ResNet50,meningioma,0.9951171875,0.8
269,glioma/Te-gl_341.jpg,glioma,ResNet50,notumor,1.0,0.8
279,glioma/Te-gl_350.jpg,glioma,ResNet50,notumor,0.998046875,0.8
280,glioma/Te-gl_351.jpg,glioma,ResNet50,notumor,0.87353515625,0.8
303,glioma/Te-gl_372.jpg,glioma,ResNet50,notumor,0.90869140625,0.8
322,glioma/Te-gl_39.jpg,glioma,ResNet50,meningioma,0.998046875,0.8
324,glioma/Te-gl_391.jpg,glioma,ResNet50,meningioma,0.994140625,0.8
347,glioma/Te-gl_51.jpg,glioma,ResNet50,meningioma,0.8359375,0.8
349,glioma/Te-gl_53.jpg,glioma,ResNet50,meningioma,0.94970703125,0.8
352,glioma/Te-gl_56.jpg,glioma,ResNet50,meningioma,0.97314453125,0.8
354,glioma/Te-gl_58.jpg,glioma,ResNet50,meningioma,0.9951171875,0.8
359,glioma/Te-gl_62.jpg,glioma,ResNet50,meningioma,0.833984375,0.8
363,glioma/Te-gl_66.jpg,glioma,ResNet50,meningioma,0.9921875,0.8
365,glioma/Te-gl_68.jpg,glioma,ResNet50,meningioma,1.0,0.8
372,glioma/Te-gl_74.jpg,glioma,ResNet50,notumor,0.95068359375,0.8
376,glioma/Te-gl_78.jpg,glioma,ResNet50,meningioma,0.97705078125,0.8
386,glioma/Te-gl_87.jpg,glioma,ResNet50,meningioma,0.9951171875,0.8
391,glioma/Te-gl_91.jpg,glioma,ResNet50,meningioma,0.82568359375,0.8
397,glioma/Te-gl_97.jpg,glioma,ResNet50,notumor,1.0,0.8
401,meningioma/Te-aug-me_10.jpg,meningioma,ResNet50,pituitary,0.998046875,0.8
404,meningioma/Te-aug-me_102.jpg,meningioma,ResNet50,pituitary,0.9892578125,0.8
409,meningioma/Te-aug-me_14.jpg,meningioma,ResNet50,pituitary,0.84814453125,0.8
432,meningioma/Te-aug-me_35.jpg,meningioma,ResNet50,pituitary,0.8125,0.8
438,meningioma/Te-aug-me_40.jpg,meningioma,ResNet50,pituitary,0.94482421875,0.8
449,meningioma/Te-aug-me_50.jpg,meningioma,ResNet50,pituitary,0.87841796875,0.8
494,meningioma/Te-aug-me_91.jpg,meningioma,ResNet50,pituitary,0.88134765625,0.8
496,meningioma/Te-aug-me_93.jpg,meningioma,ResNet50,pituitary,0.990234375,0.8
505,meningioma/Te-me_100.jpg,meningioma,ResNet50,pituitary,0.94921875,0.8
521,meningioma/Te-me_115.jpg,meningioma,ResNet50,pituitary,0.80322265625,0.8
538,meningioma/Te-me_130.jpg,meningioma,ResNet50,pituitary,0.86474609375,0.8
544,meningioma/Te-me_136.jpg,meningioma,ResNet50,glioma,0.97265625,0.8
561,meningioma/Te-me_151.jpg,meningioma,ResNet50,glioma,0.998046875,0.8
569,meningioma/Te-me_159.jpg,meningioma,ResNet50,pituitary,0.94189453125,0.8
580,meningioma/Te-me_169.jpg,meningioma,ResNet50,pituitary,0.99609375,0.8
595,meningioma/Te-me_182.jpg,meningioma,ResNet50,glioma,0.85888671875,0.8
599,meningioma/Te-me_186.jpg,meningioma,ResNet50,notumor,0.986328125,0.8
636,meningioma/Te-me_219.jpg,meningioma,ResNet50,glioma,0.96435546875,0.8
644,meningioma/Te-me_226.jpg,meningioma,ResNet50,glioma,0.87890625,0.8
665,meningioma/Te-me_245.jpg,meningioma,ResNet50,glioma,0.88720703125,0.8
730,meningioma/Te-me_36.jpg,meningioma,ResNet50,glioma,0.88720703125,0.8
740,meningioma/Te-me_45.jpg,meningioma,ResNet50,glioma,0.85888671875,0.8
1541,pituitary/Te-pi_46.jpg,pituitary,ResNet50,glioma,0.88330078125,0.8
1578,pituitary/Te-pi_8.jpg,pituitary,ResNet50,meningioma,0.97607421875,0.8
5,glioma/Te-gl_103.jpg,glioma,ResNet50,notumor,0.9853515625,0.9
8,glioma/Te-gl_106.jpg,glioma,ResNet50,meningioma,0.97998046875,0.9
11,glioma/Te-gl_109.jpg,glioma,ResNet50,meningioma,0.9990234375,0.9
30,glioma/Te-gl_126.jpg,glioma,ResNet50,meningioma,0.96044921875,0.9
33,glioma/Te-gl_129.jpg,glioma,ResNet50,meningioma,0.9892578125,0.9
38,glioma/Te-gl_133.jpg,glioma,ResNet50,notumor,0.99609375,0.9
56,glioma/Te-gl_15.jpg,glioma,ResNet50,meningioma,0.97900390625,0.9
58,glioma/Te-gl_151.jpg,glioma,ResNet50,meningioma,0.994140625,0.9
66,glioma/Te-gl_159.jpg,glioma,ResNet50,notumor,0.97802734375,0.9
68,glioma/Te-gl_160.jpg,glioma,ResNet50,pituitary,0.9453125,0.9
80,glioma/Te-gl_171.jpg,glioma,ResNet50,meningioma,1.0,0.9
125,glioma/Te-gl_211.jpg,glioma,ResNet50,meningioma,0.9853515625,0.9
126,glioma/Te-gl_212.jpg,glioma,ResNet50,meningioma,0.9951171875,0.9
143,glioma/Te-gl_228.jpg,glioma,ResNet50,meningioma,1.0,0.9
183,glioma/Te-gl_264.jpg,glioma,ResNet50,meningioma,1.0,0.9
189,glioma/Te-gl_27.jpg,glioma,ResNet50,meningioma,0.9541015625,0.9
192,glioma/Te-gl_272.jpg,glioma,ResNet50,meningioma,0.9951171875,0.9
195,glioma/Te-gl_275.jpg,glioma,ResNet50,meningioma,0.9453125,0.9
227,glioma/Te-gl_303.jpg,glioma,ResNet50,meningioma,0.9892578125,0.9
235,glioma/Te-gl_310.jpg,glioma,ResNet50,notumor,0.9951171875,0.9
243,glioma/Te-gl_318.jpg,glioma,ResNet50,notumor,0.9990234375,0.9
262,glioma/Te-gl_335.jpg,glioma,ResNet50,meningioma,0.9990234375,0.9
265,glioma/Te-gl_338.jpg,glioma,ResNet50,meningioma,0.9951171875,0.9
269,glioma/Te-gl_341.jpg,glioma,ResNet50,notumor,1.0,0.9
279,glioma/Te-gl_350.jpg,glioma,ResNet50,notumor,0.998046875,0.9
303,glioma/Te-gl_372.jpg,glioma,ResNet50,notumor,0.90869140625,0.9
322,glioma/Te-gl_39.jpg,glioma,ResNet50,meningioma,0.998046875,0.9
324,glioma/Te-gl_391.jpg,glioma,ResNet50,meningioma,0.994140625,0.9
349,glioma/Te-gl_53.jpg,glioma,ResNet50,meningioma,0.94970703125,0.9
352,glioma/Te-gl_56.jpg,glioma,ResNet50,meningioma,0.97314453125,0.9
354,glioma/Te-gl_58.jpg,glioma,ResNet50,meningioma,0.9951171875,0.9
363,glioma/Te-gl_66.jpg,glioma,ResNet50,meningioma,0.9921875,0.9
365,glioma/Te-gl_68.jpg,glioma,ResNet50,meningioma,1.0,0.9
372,glioma/Te-gl_74.jpg,glioma,ResNet50,notumor,0.95068359375,0.9
376,glioma/Te-gl_78.jpg,glioma,ResNet50,meningioma,0.97705078125,0.9
386,glioma/Te-gl_87.jpg,glioma,ResNet50,meningioma,0.9951171875,0.9
397,glioma/Te-gl_97.jpg,glioma,ResNet50,notumor,1.0,0.9
401,meningioma/Te-aug-me_10.jpg,meningioma,ResNet50,pituitary,0.998046875,0.9
404,meningioma/Te-aug-me_102.jpg,meningioma,ResNet50,pituitary,0.9892578125,0.9
438,meningioma/Te-aug-me_40.jpg,meningioma,ResNet50,pituitary,0.94482421875,0.9
496,meningioma/Te-aug-me_93.jpg,meningioma,ResNet50,pituitary,0.990234375,0.9
505,meningioma/Te-me_100.jpg,meningioma,ResNet50,pituitary,0.94921875,0.9
544,meningioma/Te-me_136.jpg,meningioma,ResNet50,glioma,0.97265625,0.9
561,meningioma/Te-me_151.jpg,meningioma,ResNet50,glioma,0.998046875,0.9
569,meningioma/Te-me_159.jpg,meningioma,ResNet50,pituitary,0.94189453125,0.9
580,meningioma/Te-me_169.jpg,meningioma,ResNet50,pituitary,0.99609375,0.9
599,meningioma/Te-me_186.jpg,meningioma,ResNet50,notumor,0.986328125,0.9
636,meningioma/Te-me_219.jpg,meningioma,ResNet50,glioma,0.96435546875,0.9
1578,pituitary/Te-pi_8.jpg,pituitary,ResNet50,meningioma,0.97607421875,0.9
5,glioma/Te-gl_103.jpg,glioma,ResNet50,notumor,0.9853515625,0.95
8,glioma/Te-gl_106.jpg,glioma,ResNet50,meningioma,0.97998046875,0.95
11,glioma/Te-gl_109.jpg,glioma,ResNet50,meningioma,0.9990234375,0.95
30,glioma/Te-gl_126.jpg,glioma,ResNet50,meningioma,0.96044921875,0.95
33,glioma/Te-gl_129.jpg,glioma,ResNet50,meningioma,0.9892578125,0.95
38,glioma/Te-gl_133.jpg,glioma,ResNet50,notumor,0.99609375,0.95
56,glioma/Te-gl_15.jpg,glioma,ResNet50,meningioma,0.97900390625,0.95
58,glioma/Te-gl_151.jpg,glioma,ResNet50,meningioma,0.994140625,0.95
66,glioma/Te-gl_159.jpg,glioma,ResNet50,notumor,0.97802734375,0.95
80,glioma/Te-gl_171.jpg,glioma,ResNet50,meningioma,1.0,0.95
125,glioma/Te-gl_211.jpg,glioma,ResNet50,meningioma,0.9853515625,0.95
126,glioma/Te-gl_212.jpg,glioma,ResNet50,meningioma,0.9951171875,0.95
143,glioma/Te-gl_228.jpg,glioma,ResNet50,meningioma,1.0,0.95
183,glioma/Te-gl_264.jpg,glioma,ResNet50,meningioma,1.0,0.95
189,glioma/Te-gl_27.jpg,glioma,ResNet50,meningioma,0.9541015625,0.95
192,glioma/Te-gl_272.jpg,glioma,ResNet50,meningioma,0.9951171875,0.95
227,glioma/Te-gl_303.jpg,glioma,ResNet50,meningioma,0.9892578125,0.95
235,glioma/Te-gl_310.jpg,glioma,ResNet50,notumor,0.9951171875,0.95
243,glioma/Te-gl_318.jpg,glioma,ResNet50,notumor,0.9990234375,0.95
262,glioma/Te-gl_335.jpg,glioma,ResNet50,meningioma,0.9990234375,0.95
265,glioma/Te-gl_338.jpg,glioma,ResNet50,meningioma,0.9951171875,0.95
269,glioma/Te-gl_341.jpg,glioma,ResNet50,notumor,1.0,0.95
279,glioma/Te-gl_350.jpg,glioma,ResNet50,notumor,0.998046875,0.95
322,glioma/Te-gl_39.jpg,glioma,ResNet50,meningioma,0.998046875,0.95
324,glioma/Te-gl_391.jpg,glioma,ResNet50,meningioma,0.994140625,0.95
352,glioma/Te-gl_56.jpg,glioma,ResNet50,meningioma,0.97314453125,0.95
354,glioma/Te-gl_58.jpg,glioma,ResNet50,meningioma,0.9951171875,0.95
363,glioma/Te-gl_66.jpg,glioma,ResNet50,meningioma,0.9921875,0.95
365,glioma/Te-gl_68.jpg,glioma,ResNet50,meningioma,1.0,0.95
372,glioma/Te-gl_74.jpg,glioma,ResNet50,notumor,0.95068359375,0.95
376,glioma/Te-gl_78.jpg,glioma,ResNet50,meningioma,0.97705078125,0.95
386,glioma/Te-gl_87.jpg,glioma,ResNet50,meningioma,0.9951171875,0.95
397,glioma/Te-gl_97.jpg,glioma,ResNet50,notumor,1.0,0.95
401,meningioma/Te-aug-me_10.jpg,meningioma,ResNet50,pituitary,0.998046875,0.95
404,meningioma/Te-aug-me_102.jpg,meningioma,ResNet50,pituitary,0.9892578125,0.95
496,meningioma/Te-aug-me_93.jpg,meningioma,ResNet50,pituitary,0.990234375,0.95
544,meningioma/Te-me_136.jpg,meningioma,ResNet50,glioma,0.97265625,0.95
561,meningioma/Te-me_151.jpg,meningioma,ResNet50,glioma,0.998046875,0.95
580,meningioma/Te-me_169.jpg,meningioma,ResNet50,pituitary,0.99609375,0.95
599,meningioma/Te-me_186.jpg,meningioma,ResNet50,notumor,0.986328125,0.95
636,meningioma/Te-me_219.jpg,meningioma,ResNet50,glioma,0.96435546875,0.95
1578,pituitary/Te-pi_8.jpg,pituitary,ResNet50,meningioma,0.97607421875,0.95
5,glioma/Te-gl_103.jpg,glioma,EfficientNetB0,meningioma,0.9541015625,0.8
11,glioma/Te-gl_109.jpg,glioma,EfficientNetB0,meningioma,0.98193359375,0.8
43,glioma/Te-gl_138.jpg,glioma,EfficientNetB0,meningioma,0.80908203125,0.8
50,glioma/Te-gl_144.jpg,glioma,EfficientNetB0,notumor,0.88037109375,0.8
56,glioma/Te-gl_15.jpg,glioma,EfficientNetB0,meningioma,0.8642578125,0.8
60,glioma/Te-gl_153.jpg,glioma,EfficientNetB0,meningioma,0.970703125,0.8
68,glioma/Te-gl_160.jpg,glioma,EfficientNetB0,meningioma,0.95166015625,0.8
97,glioma/Te-gl_187.jpg,glioma,EfficientNetB0,meningioma,0.82763671875,0.8
99,glioma/Te-gl_189.jpg,glioma,EfficientNetB0,meningioma,0.900390625,0.8
117,glioma/Te-gl_204.jpg,glioma,EfficientNetB0,notumor,0.9375,0.8
