image_id,filename,model,true_class,predicted_class,confidence,failure_type,target_layer,gradcam_filepath
22,glioma/Te-gl_119.jpg,ResNet50,glioma,meningioma,0.5625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img22_pairwise_A_correct_B_wrong_VGG16_vs_ResNet50.png
22,glioma/Te-gl_119.jpg,VGG16,glioma,glioma,0.994140625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img22_pairwise_A_correct_B_wrong_VGG16_vs_ResNet50.png
29,glioma/Te-gl_125.jpg,EfficientNetB0,glioma,meningioma,0.5732421875,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img29_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
29,glioma/Te-gl_125.jpg,VGG16,glioma,glioma,0.93115234375,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img29_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
30,glioma/Te-gl_126.jpg,EfficientNetB0,glioma,meningioma,0.6708984375,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img30_shared_failure.png
30,glioma/Te-gl_126.jpg,ResNet50,glioma,meningioma,0.96044921875,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img30_shared_failure.png
30,glioma/Te-gl_126.jpg,VGG16,glioma,meningioma,0.63134765625,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img30_shared_failure.png
33,glioma/Te-gl_129.jpg,ResNet50,glioma,meningioma,0.9892578125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img33_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
33,glioma/Te-gl_129.jpg,VGG16,glioma,notumor,0.970703125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img33_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
38,glioma/Te-gl_133.jpg,EfficientNetB0,glioma,notumor,0.38037109375,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img38_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
38,glioma/Te-gl_133.jpg,ResNet50,glioma,notumor,0.99609375,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img38_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
38,glioma/Te-gl_133.jpg,VGG16,glioma,meningioma,0.62939453125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img38_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
38,glioma/Te-gl_133.jpg,VGG16,glioma,meningioma,0.62939453125,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img38_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
38,glioma/Te-gl_133.jpg,VGG16,glioma,meningioma,0.62939453125,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img38_glioma_meningioma_confusion.png
43,glioma/Te-gl_138.jpg,EfficientNetB0,glioma,meningioma,0.80908203125,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img43_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
43,glioma/Te-gl_138.jpg,EfficientNetB0,glioma,meningioma,0.80908203125,pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img43_pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0.png
43,glioma/Te-gl_138.jpg,ResNet50,glioma,glioma,0.97607421875,pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img43_pairwise_A_correct_B_wrong_ResNet50_vs_EfficientNetB0.png
43,glioma/Te-gl_138.jpg,VGG16,glioma,glioma,0.8310546875,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img43_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
46,glioma/Te-gl_140.jpg,ResNet50,glioma,meningioma,0.8359375,glioma_meningioma_confusion,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img46_glioma_meningioma_confusion.png
46,glioma/Te-gl_140.jpg,VGG16,glioma,meningioma,1.0,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img46_glioma_meningioma_confusion.png
56,glioma/Te-gl_15.jpg,VGG16,glioma,meningioma,0.9677734375,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img56_glioma_meningioma_confusion.png
58,glioma/Te-gl_151.jpg,EfficientNetB0,glioma,meningioma,0.7392578125,glioma_meningioma_confusion,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img58_glioma_meningioma_confusion.png
58,glioma/Te-gl_151.jpg,ResNet50,glioma,meningioma,0.994140625,glioma_meningioma_confusion,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img58_glioma_meningioma_confusion.png
60,glioma/Te-gl_153.jpg,EfficientNetB0,glioma,meningioma,0.970703125,model_specific_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img60_model_specific_failure.png
66,glioma/Te-gl_159.jpg,EfficientNetB0,glioma,meningioma,0.437255859375,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img66_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
66,glioma/Te-gl_159.jpg,EfficientNetB0,glioma,meningioma,0.437255859375,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img66_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
66,glioma/Te-gl_159.jpg,EfficientNetB0,glioma,meningioma,0.437255859375,glioma_meningioma_confusion,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img66_glioma_meningioma_confusion.png
66,glioma/Te-gl_159.jpg,ResNet50,glioma,notumor,0.97802734375,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img66_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
66,glioma/Te-gl_159.jpg,VGG16,glioma,notumor,0.67041015625,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img66_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
68,glioma/Te-gl_160.jpg,EfficientNetB0,glioma,meningioma,0.95166015625,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img68_shared_failure.png
68,glioma/Te-gl_160.jpg,EfficientNetB0,glioma,meningioma,0.95166015625,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img68_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
68,glioma/Te-gl_160.jpg,EfficientNetB0,glioma,meningioma,0.95166015625,glioma_meningioma_confusion,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img68_glioma_meningioma_confusion.png
68,glioma/Te-gl_160.jpg,ResNet50,glioma,pituitary,0.9453125,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img68_shared_failure.png
68,glioma/Te-gl_160.jpg,ResNet50,glioma,pituitary,0.9453125,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img68_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
68,glioma/Te-gl_160.jpg,ResNet50,glioma,pituitary,0.9453125,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img68_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
68,glioma/Te-gl_160.jpg,VGG16,glioma,meningioma,0.87890625,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img68_shared_failure.png
68,glioma/Te-gl_160.jpg,VGG16,glioma,meningioma,0.87890625,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img68_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
69,glioma/Te-gl_161.jpg,ResNet50,glioma,pituitary,0.6748046875,model_specific_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img69_model_specific_failure.png
74,glioma/Te-gl_166.jpg,EfficientNetB0,glioma,glioma,0.97412109375,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img74_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
74,glioma/Te-gl_166.jpg,EfficientNetB0,glioma,glioma,0.97412109375,pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img74_pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0.png
74,glioma/Te-gl_166.jpg,ResNet50,glioma,notumor,0.7421875,pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img74_pairwise_A_wrong_B_correct_ResNet50_vs_EfficientNetB0.png
74,glioma/Te-gl_166.jpg,VGG16,glioma,notumor,0.7431640625,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img74_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
75,glioma/Te-gl_167.jpg,EfficientNetB0,glioma,pituitary,0.74951171875,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img75_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
75,glioma/Te-gl_167.jpg,ResNet50,glioma,glioma,0.9892578125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img75_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
75,glioma/Te-gl_167.jpg,VGG16,glioma,notumor,0.5263671875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img75_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
75,glioma/Te-gl_167.jpg,VGG16,glioma,notumor,0.5263671875,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img75_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
79,glioma/Te-gl_170.jpg,EfficientNetB0,glioma,glioma,0.77392578125,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img79_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
79,glioma/Te-gl_170.jpg,ResNet50,glioma,glioma,0.59375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img79_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
79,glioma/Te-gl_170.jpg,VGG16,glioma,meningioma,0.7802734375,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img79_model_specific_failure.png
79,glioma/Te-gl_170.jpg,VGG16,glioma,meningioma,0.7802734375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img79_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
79,glioma/Te-gl_170.jpg,VGG16,glioma,meningioma,0.7802734375,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img79_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
84,glioma/Te-gl_175.jpg,ResNet50,glioma,glioma,0.998046875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img84_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
84,glioma/Te-gl_175.jpg,VGG16,glioma,meningioma,0.85205078125,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img84_model_specific_failure.png
84,glioma/Te-gl_175.jpg,VGG16,glioma,meningioma,0.85205078125,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img84_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
87,glioma/Te-gl_178.jpg,VGG16,glioma,meningioma,0.7802734375,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img87_model_specific_failure.png
87,glioma/Te-gl_178.jpg,VGG16,glioma,meningioma,0.7802734375,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img87_glioma_meningioma_confusion.png
91,glioma/Te-gl_181.jpg,EfficientNetB0,glioma,meningioma,0.63037109375,model_specific_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img91_model_specific_failure.png
97,glioma/Te-gl_187.jpg,EfficientNetB0,glioma,meningioma,0.82763671875,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img97_shared_failure.png
97,glioma/Te-gl_187.jpg,EfficientNetB0,glioma,meningioma,0.82763671875,glioma_meningioma_confusion,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img97_glioma_meningioma_confusion.png
97,glioma/Te-gl_187.jpg,ResNet50,glioma,meningioma,0.8828125,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img97_shared_failure.png
97,glioma/Te-gl_187.jpg,VGG16,glioma,meningioma,0.74072265625,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img97_shared_failure.png
97,glioma/Te-gl_187.jpg,VGG16,glioma,meningioma,0.74072265625,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img97_glioma_meningioma_confusion.png
99,glioma/Te-gl_189.jpg,EfficientNetB0,glioma,meningioma,0.900390625,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img99_shared_failure.png
99,glioma/Te-gl_189.jpg,EfficientNetB0,glioma,meningioma,0.900390625,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img99_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
99,glioma/Te-gl_189.jpg,EfficientNetB0,glioma,meningioma,0.900390625,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img99_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
99,glioma/Te-gl_189.jpg,ResNet50,glioma,notumor,0.630859375,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img99_shared_failure.png
99,glioma/Te-gl_189.jpg,ResNet50,glioma,notumor,0.630859375,pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img99_pairwise_both_wrong_different_preds_ResNet50_vs_EfficientNetB0.png
99,glioma/Te-gl_189.jpg,VGG16,glioma,notumor,0.927734375,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img99_shared_failure.png
99,glioma/Te-gl_189.jpg,VGG16,glioma,notumor,0.927734375,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img99_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
105,glioma/Te-gl_194.jpg,EfficientNetB0,glioma,meningioma,0.595703125,model_specific_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img105_model_specific_failure.png
107,glioma/Te-gl_196.jpg,ResNet50,glioma,meningioma,0.66259765625,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img107_pairwise_A_correct_B_wrong_VGG16_vs_ResNet50.png
107,glioma/Te-gl_196.jpg,VGG16,glioma,glioma,0.88671875,pairwise_A_correct_B_wrong_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img107_pairwise_A_correct_B_wrong_VGG16_vs_ResNet50.png
110,glioma/Te-gl_199.jpg,EfficientNetB0,glioma,pituitary,0.625,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img110_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
110,glioma/Te-gl_199.jpg,VGG16,glioma,glioma,0.476318359375,pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img110_pairwise_A_correct_B_wrong_VGG16_vs_EfficientNetB0.png
125,glioma/Te-gl_211.jpg,VGG16,glioma,meningioma,0.9716796875,glioma_meningioma_confusion,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img125_glioma_meningioma_confusion.png
126,glioma/Te-gl_212.jpg,EfficientNetB0,glioma,meningioma,0.97998046875,shared_failure,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img126_shared_failure.png
126,glioma/Te-gl_212.jpg,ResNet50,glioma,meningioma,0.9951171875,shared_failure,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img126_shared_failure.png
126,glioma/Te-gl_212.jpg,VGG16,glioma,meningioma,0.931640625,shared_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img126_shared_failure.png
127,glioma/Te-gl_213.jpg,EfficientNetB0,glioma,meningioma,0.490966796875,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img127_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
127,glioma/Te-gl_213.jpg,ResNet50,glioma,meningioma,0.7529296875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img127_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
127,glioma/Te-gl_213.jpg,ResNet50,glioma,meningioma,0.7529296875,glioma_meningioma_confusion,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img127_glioma_meningioma_confusion.png
127,glioma/Te-gl_213.jpg,VGG16,glioma,pituitary,0.40576171875,pairwise_both_wrong_different_preds_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img127_pairwise_both_wrong_different_preds_VGG16_vs_ResNet50.png
127,glioma/Te-gl_213.jpg,VGG16,glioma,pituitary,0.40576171875,pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img127_pairwise_both_wrong_different_preds_VGG16_vs_EfficientNetB0.png
129,glioma/Te-gl_215.jpg,EfficientNetB0,glioma,glioma,0.89892578125,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img129_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
129,glioma/Te-gl_215.jpg,ResNet50,glioma,glioma,0.900390625,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img129_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
129,glioma/Te-gl_215.jpg,VGG16,glioma,meningioma,0.474853515625,model_specific_failure,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img129_model_specific_failure.png
129,glioma/Te-gl_215.jpg,VGG16,glioma,meningioma,0.474853515625,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img129_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
129,glioma/Te-gl_215.jpg,VGG16,glioma,meningioma,0.474853515625,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img129_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
143,glioma/Te-gl_228.jpg,ResNet50,glioma,meningioma,1.0,glioma_meningioma_confusion,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img143_glioma_meningioma_confusion.png
144,glioma/Te-gl_229.jpg,EfficientNetB0,glioma,glioma,0.83642578125,pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0,top_conv,/kaggle/working/results/explainability/gradcam/EfficientNetB0/img144_pairwise_A_wrong_B_correct_VGG16_vs_EfficientNetB0.png
144,glioma/Te-gl_229.jpg,ResNet50,glioma,glioma,0.75341796875,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,conv5_block3_3_conv,/kaggle/working/results/explainability/gradcam/ResNet50/img144_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
144,glioma/Te-gl_229.jpg,VGG16,glioma,meningioma,0.97802734375,pairwise_A_wrong_B_correct_VGG16_vs_ResNet50,block5_conv3,/kaggle/working/results/explainability/gradcam/VGG16/img144_pairwise_A_wrong_B_correct_VGG16_vs_ResNet50.png
